ÍNDICE,
,
Tabela I.B2.1,Pontuação média e variação no desempenho em ciências
Tabela I.B2.2,Pontuação média e variação no desempenho em leitura
Tabela I.B2.3,Pontuação média e variação no desempenho em matemática
Tabela I.B2.4,Pontuação média e variação no desempenho em resolução computacional de problemas
Tabela I.B2.9,Percentual de estudantes em cada nível de proficiência em ciências
Tabela I.B2.10,Percentual de estudantes em cada nível de proficiência em leitura
Tabela I.B2.11,Percentual de estudantes em cada nível de proficiência em matemática
Tabela I.B2.12,Percentual de estudantes em cada nível de proficiência em resolução computacional de problemas
Tabela I.B2.17,"Desempenho em ciências, por gênero"
Tabela I.B2.18,"Desempenho em leitura, por gênero"
Tabela I.B2.19,"Desempenho em matemática, por gênero"
Tabela I.B2.20,"Desempenho em resolução computacional de problemas, por gênero"
Tabela I.B2.29,Status socioeconômico e desempenho em ciências
Tabela I.B2.30,Status socioeconômico e desempenho em ciências
Tabela I.B2.31,Status socioeconômico e desempenho em matemática
Tabela I.B2.32,Status socioeconômico e desempenho em resolução computacional de problemas
Tabela I.B2.77,Tipo de escola
